Fármaco(s),Forma Farmacéutica,Concentración,Fracción (Art. 226 LGS),Denominación Distintiva,Registro Sanitario,Titular,Indicación terapéutica
"GLUCOSAMINA, Sulfato de / CONDROITINA, Sulfato de / ÁCIDO ASCÓRBICO / MANGANESO,
Sulfato de",Comprimido,"300 mg/200 mg/
25 mg/1.87 mg",VI,X RAY AVA,049M2005 SSA,"GENOMMA LABORATORIES MÉXICO,
S.A. DE C.V.",Auxiliar en el tratamiento de la osteoartritis. Condroprotector.
"GOSERELINA, Acetato de",Implante (Liberación prolongada),3.6 mg  y  10.8 mg,IV,ZOLADEX,537M89 SSA,ASTRAZENECA UK LIMITED,"Para el tratamiento del cáncer de mama. Para el tratamiento del cáncer de próstata, Endometriosis, miomatosis y leiomiomatosis.
La presentación de 10.8 mg. Para el tratamiento de cancer de mama con receptores de estrógenos positivos en mujeres premenopáusicas."
GUAIFENESINA / SULFAMETOXAZOL / TRIMETOPRIMA,Suspensión,1 g/4 g/0.8 g/100 mL,IV,BACTRIM COMPOSITUM,81793 SSA,F. HOFFMANN - LA ROCHE LTD.,Antimicrobiano para infecciones ocasionadas por gérmenes susceptibles.
GUAYACOL,Solución (Inyectable),100 mg / 1 mL,IV,EUCALIPTINE,419M2001 SSA,"DINAFARMA, S.A. DE C.V.",Expectorante.
HALOPERIDOL,Tableta,5 mg  y  10 mg,IV,HALDOL,63972 SSA,"JANSSEN-CILAG, S.A. DE C.V.",Antipsicótico.
HALOPERIDOL,Solución,2 mg / 1 mL,IV,HALDOL,64181 SSA,"JANSSEN-CILAG, S.A. DE C.V.",Neuroléptico.
"HALOPERIDOL, Decanoato de",Solución (Inyectable),50 mg / 1 mL,IV,HALDOL DECANOAS,335M81 SSA,"JANSSEN-CILAG, S.A. DE C.V.","Antipsicótico para el tratamiento de esquizofrenia crónica y otras psicosis, problemas mentales o de conducta, donde la inquietud psicomotora requiere tratamiento de mantenimiento."
HEMEZOL,Tableta,500 mg,IV,HEMESTAL,0111M80 SSA,"LABORATORIOS SILANES, S.A. DE C.V.","Amebicida, tricomonicida y para el tratamiento de segunda elección en infecciones por gérmenes anaeróbicos."
"HIDRALAZINA, Clorhidrato de",Solución (Inyectable),20 mg / 1 mL,IV,ANIZALAD,374M2003 SSA,"LABORATORIOS PISA, S.A. DE C.V.","Antihipertensivo, Vasodilatador periférico."
HIDROCLOROTIAZIDA,Tableta,25 mg,IV,ROFUCAL,74276 SSA,"PROBIOMED, S.A. DE C.V.",Diurético.
HIDROCLOROTIAZIDA / IRBESARTAN,Tableta,"12.5 mg / 150 mg;
12.5 mg / 300 mg y
25 mg / 300 mg",IV,CO-APROVEL,491M2000 SSA,"SANOFI PASTEUR, S.A. DE C.V.",Antihipertensivo.
HIDROCLOROTIAZIDA / LISINOPRIL,Tableta,12.5 mg / 20 mg,IV,ZESTORETIC,159M90 SSA,"LABORATORIOS QUIMPHARMA,
S.A. DE C.V.","Tratamiento de la hipertensión esencial, en pacientes en los que el tratamiento combinado es apropiado."
"HIDROCLOROTIAZIDA /
LOSARTÁN, potásico",Comprimido,"12.5 mg / 50 mg,
12.5 mg / 100 mg  y
25 mg / 100 mg",IV,HYZAAR,360M95 SSA,"SCHERING-PLOUGH, S.A. DE C.V.",Antihipertensivo.
HIDROCLOROTIAZIDA / OLMESARTÁN MEDOXOMILO,Comprimido,"12.5 mg / 20 mg,
12.5 mg / 40 mg  y
25 mg / 40 mg",IV,ALMETEC-CO,131M2007 SSA,"SCHERING-PLOUGH, S.A. DE C.V.",Antihipertensivo.
HIDROCLOROTIAZIDA / RAMIPRIL,Tableta,"12.5 mg / 2.5 mg;
25 mg / 5 mg y
12.5 mg / 10 mg",IV,TRITAZIDE,086M96 SSA,"DINAFARMA, S.A. DE C.V.",Antihipertensivo.
"HIDROCORTISONA, 17-Butirato de",Crema,0.1 g / 100 g,IV,LOCOID,77056 SSA,"LABORATORIOS LIOMONT, S.A. DE C.V.","Antiinflamatorio esteroideo de uso tópico, indicado en dermatosis inflamatorias, pruriginosas y/o alérgicas, no infectadas de diversos tipos y localizaciones que responden a la corticoterapia local."
"HIDROCORTISONA, Acetato de / LIDOCAÍNA",Supositorio,5 mg / 60 mg,VI,XYLOPROCT PLUS,73241 SSA,"GENOMMA LABORATORIES MÉXICO,
S.A. DE C.V.",Antihemorroidal.
"HIDROCORTISONA,
Hemisuccionato de / LIDOCAINA, Clorhidrato de / OFLOXACINO",Solución,(2.5 mg/10 mg/3 mg)/ 1 mL,IV,ORECIL NF,67530 SSA,"LABORATORIOS SENOSIAIN, S.A. DE C.V.","Antimicrobiano ótico, antiinflamatorio esteroideo."
"HIDROQUINONA /
MAGNESIO, Silicato de",Crema,(2 g/10 g)/100 g  y (4 g/10 g)/100 g,IV,ELDOPAQUE,524M89 SSA,"LABORATORIOS GROSSMAN, S.A.","Auxiliar en hipercromías, Agente desmelanizante tópico, Auxiliar en el tratamiento de melasma, efélides."
HIDROQUINONA / PADIMATO O / OXIBENZONA / OCTIL METOXICINAMATO,Crema,4 g/8 g/2 g/3 g/100 g,IV,SOLAQUIN,069M91 SSA,"LABORATORIOS GROSSMAN, S.A.","Léntigo senil e hipercromías. Agente desmelanizante tópico.
Auxiliar en el tratamiento de melasma, efélides."
HIDROSMINA,Cápsula,200 mg,IV,SIES,019M95 SSA,"LABORATORIOS SENOSIAIN, S.A. DE C.V.",Trombosis venosa profunda.
HIDROTALCITA,Tableta (Masticable),500 mg,VI,ALKA-DEFENSE,148M84 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Antiácido.
HIDROXICARBAMIDA,Cápsula,500 mg,IV,HYDREA,508M2015 SSA,BRISTOL-MYERS SQUIBB MANUFACTURING COMPANY,Antineoplásico.
"HIDROXICLOROQUINA, Sulfato de",Tableta,200 mg,IV,PLAQUENIL,258M2014 SSA,"SANOFI PASTEUR, S.A. DE C.V.","Antiparasitario, Antirreumático."
"HIDROXICOBALAMINA, Acetato de",Solución (Inyectable),100 mcg / 2 mL,IV,VALAMIN-12,40090 SSA,"LABORATORIOS PISA, S.A. DE C.V.",Hematopoyético.
"Hidróxido de Magnesio, Hidróxido de Aluminio, Simeticona",Tableta,"200 mg / 200 mg /
25 mg",VI,MELOX PLUS,76943 SSA,"SANOFI-AVENTIS DE MÉXICO,
S.A. DE C.V.","Antiflatulento, Antiácido."
"HIDROXIZINA, Clorhidrato de",Tableta,10 mg  y  25 mg,IV,ATARAX,46603 SSA,"PRODUCTOS FARMACÉUTICOS,
S.A. DE C.V.","Antihistamínico, ansiolítico."
"HIDROXOCOBALAMINA, Acetato de / KETOPROFENO /
PIRIDOXINA, Clorhidrato de / TIAMINA, Clorhidrato de",Solución (Inyectable),"5000 mcg / 100 mg /
25 mg / 50 mg",IV,DOLO-BEDOYECTA,106M2004 SSA,"LABORATORIOS GROSSMAN, S.A.","Antiinflamatorio con acción analgésica, Antineurítico."
HIERRO CARBONILO,Cápsula,18 mg,IV,UNIFER,181M95 SSA,"LABORATORIOS GROSSMAN, S.A.",Para el tratamiento de la anemia ferropriva.
HIERRO ELEMENTAL,Solución (Inyectable),100 mg /1 mL,IV,HI-DEX,66153 SSA,"GRIMANN, S.A. DE C.V.",Antianémico.
"HIOSCINA, Butilbromuro de",Solución (Inyectable),20 mg / 1 mL,IV,BUSCAPINA,39650 SSA,"SANOFI-AVENTIS DE MÉXICO,
S.A. DE C.V.","Espasmo agudo del tracto gastrointestinal, biliar y genitourinario incluyendo cólicos renal y biliar. Apoyo en los procedimientos terapéuticos y de diagnóstico donde el espasmo puede ser un problema."
"HIOSCINA, Butilbromuro de",Tableta,10 mg,VI,BUSCAPINA,39657 SSA,"SANOFI-AVENTIS DE MÉXICO,
S.A. DE C.V.",Antiespasmódico.
"HIOSCINA, Butilbromuro de / KETOROLACO",Tableta,20 mg / 10 mg,IV,ENCONTROPINA,076M2012 SSA,"PRODUCTOS MEDIX, S.A. DE C.V.","Antiespasmódico, antiinflamatorio no esteroideo con acción analgésica."
"HIOSCINA, Butilbromuro de / KETOROLACO Trometamina",Solución,"(500 mg / 250 mg) /
100 mL",IV,ENCONTROPINA,077M2012 SSA,"PRODUCTOS MEDIX, S.A. DE C.V.",Tratamiento de la inflamación y dolor agudo visceral gastrointestinal y genitourinario.
"HIOSCINA, Butilbromuro de  / PARACETAMOL",Tableta,10 mg / 500 mg,VI,BUSCAPINA DUO,027M90 SSA,"SANOFI-AVENTIS DE MÉXICO, S.A. DE C.V.","Analgésico, antipirético, antiespasmódico."
"HIOSCINA, Butilbromuro de / PARACETAMOL",Solución,(2 mg / 100 mg ) /  mL,VI,BUSCAPINA DUO,028M90 SSA,"SANOFI-AVENTIS DE MÉXICO, S.A. DE C.V.",Dolor espasmódico gastrointestinal del lactante.
"HIOSCINA, Butilbromuro de / METAMIZOL SÓDICO",Solución (Inyectable),(20 mg / 2.5 g) / 5 mL,IV,BUSCAPINA COMPOSITUM,51405 SSA,"SANOFI-AVENTIS DE MÉXICO, S.A. DE C.V.","Analgésico, antipirético, antiespasmódico."
"HIOSCINA, Butilbromuro de, (Butilhioscina) / IBUPROFENO",Tableta,20 mg / 400 mg,VI,BUSCAPINA FEM,547M96 SSA,"SANOFI-AVENTIS DE MÉXICO, S.A. DE C.V.","Analgésico, antiespasmódico."
"HIOSCINA, Butilbromuro de / METAMIZOL SÓDICO",Tableta,10 mg / 250 mg,IV,BUSCAPINA COMPOSITUM,52046 SSA,"SANOFI-AVENTIS DE MÉXICO,
S.A. DE C.V.","Analgésico, Antiespasmódico."
HIPROMELOSA,Solución,"20 mg / 1 mL y
5 mg / 1 mL",IV,METICEL OFTENO,61986 SSA,"LABORATORIOS SOPHIA,
S.A. DE C.V.",Lubricante ocular.
IBUPROFENO,Suspensión,2 g / 100 mL,VI,ADVIL,265M98 SSA,"GLAXOSMITHKLINE CONSUMER HEALTHCARE MÉXICO, S. DE R.L. DE C.V.",Auxiliar en el alivio del dolor y la fiebre.
IBUPROFENO,Tableta (Liberación prolongada),800 mg,IV,MOTRIN RETARD,390M90 SSA,"PFIZER, S.A. DE C.V.",Antiinflamatorio con acción analgésica.
IBUPROFENO,Tableta,"400 mg, 600 mg      y 800mg",IV,MOTRIN,74737 SSA,"PFIZER, S.A. DE C.V.",Antiinflamatorio con acción analgésica.
IBUPROFENO,Cápsula (Gelatina blanda),400 mg  y  600 mg,IV,ACTRON,124M2004 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Antiinflamatorio no esteroideo con acción analgésica.
IBUPROFENO,Gel,5 g / 100 g,IV,ACTRON,341M2015 SSA,"BAYER DE MÉXICO, S.A. DE C.V.","Alivio local sintomático del dolor músculo esquelético como: Contusiones, esguinces y lumbalgia."
IBUPROFENO,Cápsula (Gelatina blanda),200mg,VI,EUFENIL,047M80 SSA,"GELCAPS EXPORTADORA DE MÉXICO,
S.A. DE C.V.","Analgésico, antipirético."
IBUPROFENO,Cápsula (Gelatina blanda),400 mg,VI,EUFENIL FORTE,490M97 SSA,"GELCAPS EXPORTADORA DE MÉXICO,
S.A. DE C.V.",Antiinflamatorio no esteroideo con acción analgésica.
IBUPROFENO / PARACETAMOL,Suspensión,2 g / 2.5 g / 100 mL,IV,ACCIOGEN,006M2022 SSA,"LABORATORIOS SILANES, S.A.",Tratamiento sintomático del dolor leve y fiebre.
IBUPROFENO / PARACETAMOL,Tableta,200 mg / 500 mg,IV,ACCIOGEN,009M2022 SSA,"LABORATORIOS SILANES, S.A.",Tratamiento sintomático del dolor leve a moderado y de la fiebre.
IDEBENONA,Tableta,30 mg,IV,LUCEBANOL,293M99 SSA,"GRIMANN, S.A. DE C.V.",Auxiliar en la insuficiencia vascular cerebral.
ILOPROST,Solución,0.01 mg / mL,IV,VENTAVIS,335M2006 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Tratamiento de la hipertensión pulmonar.
"IMATINIB, Mesilato de forma cristalina beta (b)",Comprimido,100 mg  y  400 mg,IV,GLIVEC,498M2003 SSA,NOVARTIS PHARMA AG,"Pacientes adultos y pediátricos con leucemia mieloide crónica recién diagnosticada cromosoma Filadelfia positivo, en crisis blástica, fase acelerada o fase crónica tras el fracaso de un tratamiento con interferón alfa y con leucemia linfoblástica aguda cromosoma Filadelfia positivo recién diagnosticada combinada con  quimioterapia.
Pacientes adultos con leucemia linfoblástica aguda cromosoma Filadelfia positivo en recidiva o resistente al tratamiento, síndromes mielodisplásicos o mieloproliferativos, mastocitosis sistémica, síndrome hiperosinofílico, tumores del estroma gastrointestinal y dermatofibrosarcoma protuberans."
IMIPENEM / CILASTATINA,Solución (Inyectable),500 mg / 500 mg,IV,TIENAM,180M87 SSA,MERCK SHARP & DOHME B.V.,Antibiótico (betalactámico) para infecciones ocasionadas por gérmenes sensibles.
IMIQUIMOD,Crema,"9.375 mg / 250 mg (3.75%)
y
12.5 mg / 250 mg (5%)",IV,ALDARA,524M98 SSA,"GRIMANN, S.A. DE C.V.",Carcinoma de células basales superficial. Tratamiento de verrugas genitales y perianales. Tratamiento de la queratosis actínica.
INDACATEROL,Polvo (Para inhalación),150 mcg y 300 mcg,IV,ONBRIZE BREEZHALER,064M2010 SSA,NOVARTIS PHARMA AG,Broncodilatador.
"INDACATEROL, Maleato de / GLICOPIRRONIO, Bromuro de",Polvo (Para inahalción),110 mcg / 50 mcg,IV,ULTIBRO - BREEZHALER,076M2014 SSA,NOVARTIS PHARMA AG,Tratamiento de mantenimiento para el alivio de los síntomas y disminución de las reagudizaciones en pacientes adultos con Enfermedad Pulmonar Obstructiva Crónica (EPOC).
INDAPAMIDA,Comprimido (Liberación prolongada),1.5 mg,IV,NATRILIX SR,133M2003 SSA,"LABORATORIOS SERVIER, S.L.",Diurético.
INDOMETACINA,Cápsula (Liberación prolongada),50 mg,IV,MALIVAL AP,71254 SSA,"LABORATORIOS SILANES, S.A. DE C.V.",Antiinflamatorio con acción analgésica.
INDOMETACINA,Cápsula (Liberación prolongada),60 mg,IV,ANTALGIN,80741 SSA,"PRODUCTOS MEDIX, S.A. DE C.V.","Analgésico, Antirreumático"
INDOMETACINA,Cápsula,25 mg,IV,INDOCID,61533 SSA,ASPEN PHARMA PTY LTD,"Analgésico, antiinflamatorio con acción analgésica."
INDOMETACINA,Supositorio,100 mg,IV,INDOCID,64785 SSA,ASPEN PHARMA PTY LTD,"Antirreumático, antiinflamatorio con acción analgésica."
INDOMETACINA,Crema,2.5 g / 100 g,IV,INDAFLEX,575M2004 SSA,"INDUSTRIA FARMACÉUTICA ANDRÓMACO,
S.A. DE C.V.",Antiinflamatorio no esteroideo con acción analgésica.
INDOMETACINA / DEXAMETASONA,Cápsula,25 mg / 0.500 mg,IV,INDARZONA,79645 SSA,"STREGER, S.A.","Antiinflamatorio esteroideo, antirreumático, antiinflamatorio no esteroideo."
INDOMETACINA / METOCARBAMOL,Cápsula,25 mg / 215 mg,IV,MALIVAL COMPUESTO,62795 SSA,"LABORATORIOS SILANES, S.A. DE C.V.","Analgésico, antiinflamatorio no esteroideo."
INDOMETACINA / BETAMETASONA / METOCARBAMOL,Cápsula,"25 mg / 0.75 mg /
215 mg",IV,ARDOSONS,336M2007 SSA,"LABORATORIOS QUÍMICA SON'S,
S.A. DE C.V.","Relajante muscular, Antiinflamatorio esteroideo, Antiinflamatorio no esteroideo."
INOSINA  PRANOBEX,Jarabe,5 g/100 mL,IV,ISOPRINOSINE,79278 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Antiviral.
INOSINA  PRANOBEX,Tableta,500 mg,IV,ISOPRINOSINE,76105 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Antiviral.
IRBESARTAN,Tableta,150 mg  y  300 mg,IV,APROVEL,415M97 SSA,"SANOFI PASTEUR, S.A. DE C.V.","Reductor de la progresión de la nefropatía y protección renal.
Antihipertensivo."
"IRBESARTÁN /
AMLODIPINO, Besilato de",Tableta,"150 mg / 5 mg,
300 mg / 5 mg,
150 mg / 10 mg   y
300 mg / 10 mg",IV,APROVASC,180M2011 SSA,"SANOFI PASTEUR, S.A. DE C.V.",Antihipertensivo.
"IRINOTECAN, Clorhidrato de",Solución (Inyectable),"40 mg/2 mL, 100 mg/5 mL  y 300 mg/15 mL",IV,CAMPTOSAR,431M97 SSA,"PFIZER, S.A. DE C.V.",Antineoplásico.
"ISOCONAZOL, Nitrato de",Crema,1 g / 100 mg,IV,ICADEN,0384M79 SSA,LEO PHARMA A/S,Antimicótico.
ISONIAZIDA,Tableta,100 mg,IV,VALIFOL,39758 SSA,"LABORATORIOS VALDECASAS, S.A.",Antifímico.
"ISOPROPAMIDA,yoduro de / TRIFLUOPERAZINA, clorhidrato de",Tableta,5 mg / 1 mg,III,STELABID,54599 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.","Anticolinérgico, tranquilizante, antiemético."
"ISOSORBIDA, 5-Mononitrato de",Cápsula (Liberación prolongada),50 mg,IV,ELANTAN RETARD,302M95 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.","Tratamiento de enfermedad arterial coronaria, angina de pecho, hipertensión pulmonar e insuficiencia cardiaca congestiva crónica en combinación con otros medicamentos."
"ISOSORBIDA, 5-Mononitrato de",Tableta,20 mg  y  40mg,IV,ELANTAN,008M86 SSA,"ABBOTT LABORATORIES DE MÉXICO, S.A. DE C.V.",Vasodilatador coronario.
"ISOSORBIDA, Dinitrato de",Cápsula (Liberación prolongada),20 mg    y    40 mg,IV,ISORBID AP,63050 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Vasodilatador coronario.
"ISOSORBIDA, Dinitrato de",Tableta,"2.5 mg, 5 mg  y  10 mg",IV,ISORBID,79395 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Vasodilatador coronario.
"ISOSORBIDA, Dinitrato de",Solución (Inyectable),10 mg/10 mL,IV,ISOKET,230M91 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.",Vasodilatador coronario.
"ISOSORBIDA, Dinitrato de",Tableta,"5 mg, 10 mg, 20 mg,
30 mg  y  40 mg",IV,ISORBID,63024 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Vasodilatador coronario.
"ISOSORBIDA, Dinitrato de",Solución (Para nebulización),2.510 g / 100 mL,IV,ISOKET,002M88 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.","Antianginoso, vasodilatador periférico."
"ISOSORBIDA, Mononitrato de",Tableta (Liberación prolongada),50 mg  y  100 mg,IV,MONOCORAT DEPOT,265M94 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Vasodilatador coronario.
"ISOSORBIDA, Mononitrato de",Tableta,60 mg,IV,IMDUR,214M94 SSA,"OFFENBACH MEXICANA, S.A. DE C.V.","Tratamiento profiláctico de la angina de pecho (Vasodilatador coronario, antianginoso)."
"ISOTIPENDILO, Clorhidrato de",Tableta,4 mg,VI,ANDANTOL,50173 SSA,"GRIMANN, S.A. DE C.V.",Antihistamínico.
"ITOPRIDA, Clorhidrato de",Tableta,50 mg,IV,DAGLA,292M2009 SSA,"TAKEDA MÉXICO, S.A. DE C.V.",Procinético.
ITRACONAZOL,Cápsula,100 mg,IV,SPORANOX,214M87 SSA,"JANSSEN-CILAG, S.A. DE C.V.",Antimicótico
ITRACONAZOL / SECNIDAZOL,Cápsula,"33.330 mg /
166.660 mg",IV,SPORASEC,486M94 SSA,"JANSSEN-CILAG, S.A. DE C.V.",Vaginitis y Vaginosis casusado por microorganismos susceptibles.
"IVABRADINA, Clorhidrato de",Comprimido,5  mg  y  7.5 mg,IV,PROCORALAN,204M2007 SSA,LES LABORATOIRES SERVIER INDUSTRIE,"Tratamiento sintomético de la angina de pecho estable crónica. Tratamiento de la insuficiencia cardiaca crónica. Como coadyuvante al tratamiento base, no de primera línea o monoterapia."
IVERMECTINA,Tableta,6  mg,IV,IVEXTERM,566M2001 SSA,"LABORATORIOS GROSSMAN, S.A.","Escabicida, Pediculicida, Oxiuriasis, Ascariasis, uncinariasis y trichuriasis."
KETANSERINA,Gel,2 g/100 g,IV,SUFREXAL,259M90 SSA,"JANSSEN-CILAG, S.A. DE C.V.",Antiséptico y antimoniliásico.
"KETANSERINA / METRONIDAZOL /
MICONAZOL, Nitrato de",Óvulo,"36 mg / 500 mg /
100 mg",IV,SUFREXAL COMBI,428M2005 SSA,"JANSSEN-CILAG, S.A. DE C.V.","Restaurador del epitelio vaginal, Tricomonicida vaginal, Antimicótico vaginal."
KETOCONAZOL,Gel,2 g / 100 mL,IV,NIZORAL,295M89 SSA,"INDUSTRIA FARMACÉUTICA ANDROMACO,
S.A. DE C.V.",Antimicótico.
KETOCONAZOL,Crema,2 g / 100 g,IV,NIZORAL,94M83 SSA,"INDUSTRIA FARMACÉUTICA ANDROMACO,
S.A. DE C.V.",Antimicótico de amplio espectro.
KETOCONAZOL / TINIDAZOL / CLINDAMICINA,Óvulo,"800 mg / 300 mg /
100 mg",IV,TRI-DESAC,010M2012 SSA,"REPRESENTACIONES E INVESTIGACIONES MÉDICAS, S.A. DE C.V.",Tratamiento de vaginitis por cándida y las vaginosis bacterianas.
KETOPROFENO,Comprimido (Liberación prolongada),150 mg,IV,BI-PROFENID,244M2006 SSA,"SANOFI-AVENTIS DE MÉXICO,
S.A. DE C.V.","Antiinflamatorio no esteroideo, con acción analgésica."
KETOPROFENO,Solución (Inyectable),100 mg / 2 mL,IV,PROFENID I.M.,044M84 SSA,"SANOFI-AVENTIS DE MÉXICO,
S.A. DE C.V.","Analgésico, Antiinflamatorio con acción analgésica."
KETOPROFENO,Cápsula,100 mg,IV,PROFENID,82573 SSA,"SANOFI-AVENTIS DE MÉXICO,
S.A. DE C.V.","Antirreumático, Antiinflamatorio con acción analgésica."
KETOPROFENO,Solución (Inyectable),100 mg,IV,PROFENID I.V.,327M98 SSA,"SANOFI-AVENTIS DE MÉXICO,
S.A. DE C.V.",Antiinflamatorio con acción analgésica.
KETOPROFENO,Gel,2.5 g / 100 g,IV,PROFENID GEL,545M89 SSA,"SANOFI-AVENTIS DE MÉXICO,
S.A. DE C.V.","Analgésico, Antiinflamatorio con acción analgésica."
KETOPROFENO,Tableta (Liberación prolongada),200 mg,IV,PROFENID RETARD,200M84 SSA,"SANOFI-AVENTIS DE MÉXICO,
S.A. DE C.V.","Analgésico, antiinflamatorio con acción analgésica."
KETOPROFENO sódico / PARACETAMOL,Suspensión,30 mg/85 mg/ 5mL,IV,BIFEBRAL,546M89 SSA,"DINAFARMA, S.A. DE C.V.","Analgésico, antipirético, antiinflamatorio con acción analgésica."
KETOPROFENO sódico / PARACETAMOL,Comprimido,100 mg/300 mg,IV,BIFEBRAL,547M89 SSA,"DINAFARMA, S.A. DE C.V.","Analgésico, antipirético, antiinflamatorio con acción analgésica."
"KETOPROFENO, Lisinato de",Granulado,80 mg,VI,OKI 3A,126M2008 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Antiinflamatorio no esteroideo con acción analgésica.
KETOROLACO,Tableta,10 mg,IV,DOLAC,126M2020 SSA,"SIEGFRIED RHEIN, S.A. DE C.V.",Analgésico no narcótico.
KETOROLACO TROMETAMINA,Gel,2 g / 100 g,IV,SUPRADOL,260M99 SSA,"LABORATORIOS LIOMONT, S.A. DE C.V.",Antiinflamatorio no esteroideo con acción analgésica.
KETOROLACO TROMETAMINA,Solución,"5 mg / 1 mL,
4 mg / 1 mL   y
0.45%",IV,ACULAREN,323M97 SSA,ABBVIE INC.,Antiinflamatorio no esteroideo oftálmico. Analgésico.
KETOROLACO TROMETAMINA,Tableta,30 mg,IV,DOLAC 30,216M2014 SSA,"SIEGFRIED RHEIN, S.A. DE C.V.",Analgésico no narcótico.
KETOROLACO TROMETAMINA,Solución (Inyectable),30mg / 1mL,IV,DOLAC,058M2014 SSA,"SIEGFRIED RHEIN, S.A. DE C.V.",Antiinflamatorio no esteroideo con acción analgésica.
"KETOROLACO TROMETAMINA /
CAFEÍNA anhidra",Tableta,10 mg / 50 mg,IV,SUPRADOL-F,345M2006 SSA,"LABORATORIOS LIOMONT, S.A. DE C.V.",Analgésico.
"KETOROLACO TROMETAMINA /
TRAMADOL, Clorhidrato de",Tableta,10 mg / 25 mg,IV,SINERGIX,340M2006 SSA,"REPRESENTACIONES E INVESTIGACIONES MÉDICAS, S.A. DE C.V.",Analgésico.
"KETOROLACO TROMETAMINA /
TRAMADOL, Clorhidrato de",Cápsula,10 mg / 25 mg,IV,MAVIDOL TR,009M2011 SSA,"MAVI FARMACÉUTICA, S.A. DE C.V.",Analgésico.
"KETOTIFENO, Fumarato hidrogenado de",Jarabe,20 mg / 100 mL,IV,ZADITEN,358M90 SSA,SANDOZ GMBH,"Para la profilaxis y tratamiento crónico del asma bronquial, antihistamínico."
L-ASPARAGINASA,Solución (Inyectable),"10,000 UI",IV,LEUNASE,158M88 SSA,"DINAFARMA, S.A. DE C.V.","Para el tratamiento de la leucemia aguda linfocítica, linfoma no Hodgkin de grado bajo."
LACIDIPINO,Tableta,2 mg  y  4 mg,IV,LACIPIL,512M94 SSA,"GLAXO WELLCOME, S.A.","Antihipertensivo, Calcio antagonista, Antianginoso."
LACOSAMIDA,Jarabe,10 mg / mL,IV,VIMPAT,076M2010 SSA,"PRODUCTOS FARMACÉUTICOS,
S.A. DE C.V.",Antiepiléptico.
LACOSAMIDA,Tableta,"50 mg, 100 mg,
150 mg  y  200 mg",IV,VIMPAT,096M2010 SSA,"PRODUCTOS FARMACÉUTICOS,
S.A. DE C.V.",Antiepiléptico.
LACOSAMIDA,Solución (Inyectable),10 mg / mL,IV,VIMPAT,017M2011 SSA,"PRODUCTOS FARMACÉUTICOS,
S.A. DE C.V.",Antiepiléptico.
LACTULOSA,Polvo,5 g,IV,REGULACT,213M95 SSA,"LABORATORIOS GROSSMAN, S.A.","Tratamiento de encefalopatía hepática, laxante."
LACTULOSA,Jarabe,66.700 g / 100 mL,IV,REGULACT,012M95 SSA,"LABORATORIOS GROSSMAN, S.A.","Tratamiento de encefalopatía hepática, laxante."
LAMIVUDINA,Solución,1 g / 100 mL,IV,3 TC,525M96 SSA,"GLAXO WELLCOME, S.A.",Antirretroviral.
LAMIVUDINA,Tableta,150 mg,IV,3 TC,523M96 SSA,"GLAXO WELLCOME, S.A.",Antirretroviral.
LAMIVUDINA / ZIDOVUDINA,Tableta,150 mg / 300 mg,IV,COMBIVIR,095M98 SSA,"GLAXO WELLCOME, S.A.",Antirretroviral. Tratamiento de pacientes infectados por el virus de la inmunodeficiencia humana (VIH).
LAMOTRIGINA,Tableta (Dispersable / Masticable),"5 mg, 25 mg, 50 mg
y 100 mg",IV,LAMICTAL DISPERSABLE,379M95 SSA,"GLAXO WELLCOME, S.A.",Antiepiléptico.
LANREOTIDA,Solución (Inyectable),"60 mg, 90 mg y
120 mg",IV,SOMATULINE AUTOGEL,540M2004 SSA,IPSEN PHARMA BIOTECH,"Para el tratamiento de la acromegalia, tumores neuroendocrinos y tumores neuroendocrinos gastroenteropancreáticos."
LANSOPRAZOL,Cápsula,15 mg  y  30 mg,IV,ULPAX,522M94 SSA,"GRIMANN, S.A. DE C.V.",Para el tratamiento de la úlcera péptica gástrica y duodenal.
LAPATINIB,Tableta,250 mg,IV,TYKERB,417M2008 SSA,NOVARTIS PHARMA AG,Para el tratamiento de cáncer de mama avanzado o metastásico con expresión de la proteína ErbB2 (HER2/neu) y que han recibido tratamiento previo en combinación con capecitabina o algún inhibidor de la aromatasa.
LATANOPROST,Solución,50 mcg /  mL,IV,XALATAN,043M98 SSA,ROTTAPHARM LIMITED,Antiglaucomatoso.
