CATALOG_KEY,PRO_NOMBRE
6095,DILATACIÓN TRANSURETRAL CON BALÓN DE URETRA PROSTÁTICA
6096,DESTRUCCIÓN TRANSURETRAL DE TEJIDO PROSTÁTICO POR TERMOTERAPIA CON MICROONDAS
6097,OTRA DESTRUCCIÓN TRANSURETRAL DE TEJIDO PROSTÁTICO CON OTRA TERMOTERAPIA
6099,OTRAS OPERACIONES SOBRE PRÓSTATA
61,OPERACIONES SOBRE ESCROTO Y TÚNICA VAGINAL
610,INCISIÓN Y DRENAJE DE ESCROTO Y TÚNICA VAGINAL
610X,INCISIÓN Y DRENAJE DE ESCROTO Y TÚNICA VAGINAL
611,PROCEDIMIENTOS DIAGNÓSTICOS SOBRE ESCROTO Y TÚNICA VAGINAL
6111,BIOPSIA DE ESCROTO O TÚNICA VAGINAL
6119,OTROS PROCEDIMIENTOS DIAGNÓSTICOS SOBRE ESCROTO Y TÚNICA VAGINAL
612,EXCISIÓN DE HIDROCELE (DE TÚNICA VAGINAL)
612X,EXCISIÓN DE HIDROCELE (DE TÚNICA VAGINAL)
613,EXCISIÓN O DESTRUCCIÓN DE LESIÓN O TEJIDO DE ESCROTO
613X,EXCISIÓN O DESTRUCCIÓN DE LESIÓN O TEJIDO DE ESCROTO
614,REPARACIÓN DE ESCROTO Y TÚNICA VAGINAL
6141,SUTURA DE LACERACIÓN DE ESCROTO Y TÚNICA VAGINAL
6142,REPARACIÓN DE FÍSTULA ESCROTAL
6149,OTRA REPARACIÓN DE ESCROTO Y TÚNICA VAGINAL
619,OTRAS OPERACIONES SOBRE ESCROTO Y TÚNICA VAGINAL
6191,ASPIRACIÓN PERCUTÁNEA DE TÚNICA VAGINAL
6192,EXCISIÓN DE LESIÓN DE TÚNICA VAGINAL SALVO HIDROCELE
6199,OTRAS OPERACIONES SOBRE ESCROTO Y TÚNICA VAGINAL
62,OPERACIONES SOBRE TESTÍCULOS
620,INCISIÓN DE TESTÍCULO
620X,INCISIÓN DE TESTÍCULO
621,PROCEDIMIENTOS DIAGNÓSTICOS SOBRE TESTÍCULOS
6211,BIOPSIA CERRADA [PERCUTÁNEA] [POR AGUJA] DE TESTÍCULO
6212,BIOPSIA ABIERTA DE TESTÍCULO
6219,OTROS PROCEDIMIENTOS DIAGNÓSTICOS SOBRE TESTÍCULOS
622,EXCISIÓN O DESTRUCCIÓN DE LESIÓN TESTICULAR
622X,EXCISIÓN O DESTRUCCIÓN DE LESIÓN TESTICULAR
623,ORQUIECTOMÍA UNILATERAL
623X,ORQUIECTOMÍA UNILATERAL
624,ORQUIECTOMÍA BILATERAL
6241,EXTIRPACIÓN DE AMBOS TESTÍCULOS EN EL MISMO EPISODIO OPERATORIO
6242,EXTIRPACIÓN DE TESTÍCULO RESTANTE
625,ORQUIOPEXIA
625X,ORQUIOPEXIA
626,REPARACIÓN DE TESTÍCULOS
6261,SUTURA DE LACERACIÓN DE TESTÍCULO
6269,OTRA REPARACIÓN DE TESTÍCULO
627,INSERCIÓN DE PRÓTESIS TESTICULAR
627X,INSERCIÓN DE PRÓTESIS TESTICULAR
629,OTRAS OPERACIONES SOBRE TESTÍCULO
6291,ASPIRACIÓN DE TESTÍCULO
6292,INYECCIÓN DE SUSTANCIA TERAPÉUTICA EN TESTÍCULO
6299,OTRAS OPERACIONES SOBRE TESTÍCULO
63,"OPERACIONES SOBRE CORDÓN ESPERMÁTICO, EPIDÍDIMO Y CONDUCTO DEFERENTE"
630,"PROCEDIMIENTOS DIAGNÓSTICOS SOBRE CORDÓN ESPERMÁTICO, EPIDÍDIMO Y CONDUCTO DEFERENTE"
6301,"BIOPSIA DE CORDÓN ESPERMÁTICO, EPIDÍDIMO O CONDUCTO DEFERENTE"
6309,"OTROS PROCEDIMIENTOS DIAGNÓSTICO SOBRE CORDÓN ESPERMÁTICO, EPIDÍDIMO Y CONDUCTO DEFERENTE"
631,EXCISIÓN DE VARICOCELE E HIDROCELE DE CORDÓN ESPERMÁTICO
631X,EXCISIÓN DE VARICOCELE E HIDROCELE DE CORDÓN ESPERMÁTICO
632,EXCISIÓN DE QUISTE DE EPIDÍDIMO
632X,EXCISIÓN DE QUISTE DE EPIDÍDIMO
633,EXCISIÓN DE OTRA LESIÓN O TEJIDO DE CORDÓN ESPERMÁTICO Y EPIDÍDIMO
633X,EXCISIÓN DE OTRA LESIÓN O TEJIDO DE CORDÓN ESPERMÁTICO Y EPIDÍDIMO
634,EPIDIDIMECTOMÍA
634X,EPIDIDIMECTOMÍA
635,REPARACIÓN DE CORDÓN ESPERMÁTICO Y EPIDÍDIMO
6351,SUTURA DE LACERACIÓN DE CORDÓN ESPERMÁTICO Y EPIDÍDIMO
6352,REDUCCIÓN DE TORSIÓN DE TESTÍCULO O CORDÓN ESPERMÁTICO
6353,TRASPLANTE DE CORDÓN ESPERMÁTICO
6359,OTRA REPARACIÓN DE CORDÓN ESPERMÁTICO Y EPIDÍDIMO
636,VASOTOMÍA
636X,VASOTOMÍA
637,VASECTOMÍA Y LIGADURA DE CONDUCTO DEFERENTE
6370,"PROCEDIMIENTO DE ESTERILIZACIÓN MASCULINA, NO ESPECIFICADO DE OTRA MANERA"
6371,LIGADURA DE CONDUCTO DEFERENTE
6372,LIGADURA DE CORDÓN ESPERMÁTICO
6373,VASECTOMÍA
6374,VASECTOMÍA SIN BISTURÍ
638,REPARACIÓN DE CONDUCTO DEFERENTE Y EPIDÍDIMO
6381,SUTURA DE LACERACIÓN DE CONDUCTO DEFERENTE Y EPIDÍDIMO
6382,RECONSTRUCCIÓN DE CONDUCTO DEFERENTE DIVIDIDO QUIRÚRGICAMENTE
6383,EPIDIDIMOVASOSTOMÍA
6384,RETIRADA DE LIGADURA DE CONDUCTO DEFERENTE
6385,EXTRACCIÓN DE VÁLVULA DE CONDUCTO DEFERENTE
6389,OTRA REPARACIÓN DE CONDUCTO DEFERENTE Y EPIDÍDIMO
639,"OTRAS OPERACIONES SOBRE CORDÓN ESPERMÁTICO, EPIDÍDIMO Y CONDUCTO DEFERENTE"
6391,ASPIRACIÓN DE ESPERMATOCELE
6392,EPIDIDIMOTOMÍA
6393,INCISIÓN DE CORDÓN ESPERMÁTICO
6394,LISIS DE ADHERENCIAS DE CORDÓN ESPERMÁTICO
6395,INSERCIÓN DE VÁLVULA EN VASO DEFERENTE
6399,"OTRAS OPERACIONES SOBRE CORDÓN ESPERMÁTICO, EPIDÍDIMO Y CONDUCTO DEFERENTE"
64,OPERACIONES SOBRE EL PENE
640,CIRCUNCISIÓN
640X,CIRCUNCISIÓN
641,PROCEDIMIENTOS DIAGNÓSTICOS EN EL PENE
6411,BIOPSIA DE PENE
6419,OTROS PROCEDIMIENTOS DIAGNÓSTICOS SOBRE PENE
642,EXCISIÓN LOCAL O DESTRUCCIÓN DE LESIÓN DE PENE
642X,EXCISIÓN LOCAL O DESTRUCCIÓN DE LESIÓN DE PENE
643,AMPUTACIÓN DE PENE
643X,AMPUTACIÓN DE PENE
644,OPERACIÓN DE REPARACIÓN Y PLÁSTICA SOBRE PENE
6441,SUTURA DE LACERACIÓN DE PENE
6442,LIBERACIÓN DE CORDA [CHORDÉE]
6443,CONSTRUCCIÓN DE PENE
6444,RECONSTRUCCIÓN DE PENE
6445,REIMPLANTACIÓN DE PENE
6449,OTRA REPARACIÓN DE PENE
645,"OPERACIONES PARA TRANSFORMACIÓN DE SEXO, NO CLASIFICADAS BAJO OTROS CONCEPTOS"
645X,"OPERACIONES PARA TRANSFORMACIÓN DE SEXO, NO CLASIFICADAS BAJO OTROS CONCEPTOS"
649,OTRAS OPERACIONES SOBRE ÓRGANOS GENITALES MASCULINOS
6491,CORTE DORSAL O LATERAL DE PREPUCIO
6492,INCISIÓN DE PENE
6493,LIBERACIÓN DE ADHERENCIAS DE PENE
6494,COLOCACIÓN DE PRÓTESIS EXTERNA DE PENE
6495,INSERCIÓN O SUSTITUCIÓN DE PRÓTESIS DE PENE NO INFLABLE
6496,EXTRACCIÓN DE PRÓTESIS INTERNA DE PENE
6497,INSERCIÓN O SUSTITUCIÓN DE PRÓTESIS DE PENE INFLABLE
6498,OTRAS OPERACIONES SOBRE EL PENE
6499,OTRAS OPERACIONES SOBRE ÓRGANOS GENITALES MASCULINOS
0,OPERACIONES SOBRE ÓRGANOS GENITALES FEMENINOS (65 - 71)
65,OPERACIONES SOBRE LOS OVARIOS
650,OOFOROTOMÍA
6501,OOFOROTOMÍA LAPAROSCÓPICA
6509,OTRA OOFOROTOMÍA
651,PROCEDIMIENTOS DIAGNÓSTICOS SOBRE LOS OVARIOS
6511,BIOPSIA POR ASPIRACIÓN DE OVARIO
6512,OTRA BIOPSIA DE OVARIO
6513,BIOPSIA LAPAROSCÓPICA DE OVARIO
6514,OTRO PROCEDIMIENTO DIAGNÓSTICO LAPAROSCÓPICO DE OVARIO
6519,OTROS PROCEDIMIENTOS DIAGNÓSTICOS SOBRE LOS OVARIOS
652,EXCISIÓN LOCAL O DESTRUCCIÓN DE LESIÓN O TEJIDO DE OVARIO
6521,MARSUPIALIZACIÓN DE QUISTE OVÁRICO
6522,RESECCIÓN EN CUÑA DE OVARIO
6523,MARSUPIALIZACIÓN LAPAROSCÓPICA DE QUISTE OVÁRICO
6524,RESECCIÓN EN CUÑA LAPAROSCÓPICA DE OVARIO
6525,OTRA EXCISIÓN LOCAL O DESTRUCCIÓN LAPAROSCÓPICA DE OVARIO
6529,OTRA EXCISIÓN LOCAL O DESTRUCCIÓN DE OVARIO
653,OOFORECTOMÍA UNILATERAL
6531,OOFORECTOMÍA UNILATERAL LAPAROSCÓPICA
6539,OTRA OOFOROTOMÍA UNILATERAL
654,SALPINGOOFORECTOMÍA UNILATERAL
6541,SALPINGOOFORECTOMÍA UNILATERAL LAPAROSCÓPICA
6549,OTRA SALPINGOOFORECTOMÍA UNILATERAL
655,OOFORECTOMÍA BILATERAL
6551,EXTIRPACIÓN DE AMBOS OVARIOS EN UN MISMO ACTO OPERATORIO
6552,EXTIRPACIÓN DEL OVARIO RESTANTE
6553,EXTIRPACIÓN LAPAROSCÓPICA DE AMBOS OVARIOS EN UN MISMO ACTO OPERATORIO
6554,EXTIRPACIÓN LAPAROSCÓPICA DE OVARIO RESTANTE
656,SALPINGOOFORECTOMÍA BILATERAL
6561,EXTIRPACIÓN DE AMBOS OVARIOS Y TROMPAS EN UN MISMO ACTO OPERATORIO
6562,EXTIRPACIÓN DE OVARIO Y TROMPA RESTANTES
6563,EXTIRPACIÓN LAPAROSCÓPICA DE AMBOS OVARIOS Y TROMPAS EN UN MISMO ACTO OPERATORIO
6564,EXTIRPACIÓN LAPAROSCÓPICA DE OVARIO Y TROMPA RESTANTES
657,REPARACIÓN DE OVARIO
6571,OTRA SUTURA SIMPLE DE OVARIO
6572,REIMPLANTACIÓN DE OVARIO
6573,OTRA SALPINGOOFOROPLASTÍA
6574,SUTURA SIMPLE LAPAROSCÓPICA DE OVARIO
6575,REIMPLANTACIÓN LAPAROSCÓPICA DE OVARIO
6576,SALPINGOOFOROPLASTIA LAPAROSCÓPICA
6579,OTRA REPARACIÓN DE OVARIO
658,LIBERACIÓN DE ADHERENCIAS DE OVARIO Y TROMPA DE FALOPIO
6581,LIBERACIÓN LAPAROSCÓPICA DE ADHERENCIAS DE OVARIO Y TROMPA DE FALOPIO
6589,OTRA LIBERACIÓN DE ADHERENCIAS DE OVARIO Y TROMPA DE FALOPIO
659,OTRAS OPERACIONES SOBRE EL OVARIO
6591,ASPIRACIÓN DE OVARIO
6592,TRASPLANTE DE OVARIO
6593,RUPTURA MANUAL DE QUISTE OVÁRICO
6594,DENERVACIÓN OVÁRICA
6595,LIBERACIÓN DE TORSIÓN DE OVARIO
6599,OTRAS OPERACIONES SOBRE EL OVARIO
66,OPERACIONES SOBRE LAS TROMPAS DE FALOPIO
660,SALPINGOTOMÍA Y SALPINGOSTOMIA
6601,SALPINGOTOMÍA
6602,SALPINGOSTOMÍA
661,PROCEDIMIENTOS DIAGNÓSTICOS SOBRE LAS TROMPAS DE FALOPIO
6611,BIOPSIA DE TROMPA DE FALOPIO
6619,OTROS PROCEDIMIENTOS DIAGNÓSTICOS SOBRE LAS TROMPAS DE FALOPIO
662,DESTRUCCIÓN U OCLUSIÓN ENDOSCÓPICA BILATERAL DE LAS TROMPAS DE FALOPIO
6621,LIGADURA Y APLASTAMIENTO ENDOSCÓPICO BILATERAL DE LAS TROMPAS DE FALOPIO
6622,LIGADURA Y SECCIÓN ENDOSCÓPICA BILATERAL DE LAS TROMPAS DE FALOPIO
6629,OTRA DESTRUCCIÓN U OCLUSIÓN ENDOSCÓPICA BILATERAL DE LAS TROMPAS DE FALOPIO
663,OTRA DESTRUCCIÓN U OCLUSIÓN BILATERAL DE LAS TROMPAS DE FALOPIO
6631,OTRA LIGADURA Y APLASTAMIENTO BILATERAL DE LAS TROMPAS DE FALOPIO
6632,OTRA LIGADURA Y SECCIÓN BILATERAL DE LAS TROMPAS DE FALOPIO
6639,OTRA DESTRUCCIÓN U OCLUSIÓN BILATERAL DE LAS TROMPAS DE FALOPIO
664,SALPINGECTOMÍA UNILATERAL TOTAL
664X,SALPINGECTOMÍA UNILATERAL TOTAL
665,SALPINGECTOMÍA BILATERAL TOTAL
6651,EXTIRPACIÓN DE AMBAS TROMPAS DE FALOPIO EN UN MISMO ACTO QUIRÚRGICO
6652,EXTIRPACIÓN DE TROMPA DE FALOPIO RESTANTE
666,OTRA SALPINGECTOMÍA
6661,EXCISIÓN O DESTRUCCIÓN DE LESIÓN DE TROMPA DE FALOPIO
6662,SALPINGECTOMÍA CON EXTRACCIÓN DE EMBARAZO TUBÁRICO
6663,"SALPINGECTOMÍA PARCIAL BILATERAL, NO ESPECIFICADA DE OTRA MANERA"
6669,OTRA SALPINGECTOMIA PARCIAL
667,REPARACIÓN DE TROMPA DE FALOPIO
6671,SUTURA SIMPLE DE TROMPA DE FALOPIO
6672,SALPINGOOFOROSTOMÍA
6673,SALPINGOSALPINGOSTOMÍA
6674,SALPINGOUTEROSTOMÍA
6679,OTRA REPARACIÓN DE TROMPA DE FALOPIO
668,INSUFLACIÓN DE TROMPA DE FALOPIO
668X,INSUFLACIÓN DE TROMPA DE FALOPIO
669,OTRAS OPERACIONES SOBRE TROMPAS DE FALOPIO
6691,ASPIRACIÓN DE TROMPA DE FALOPIO
6692,DESTRUCCIÓN U OCLUSIÓN UNILATERAL DE TROMPA DE FALOPIO
6693,IMPLANTACIÓN O SUSTITUCIÓN DE PRÓTESIS DE TROMPA DE FALOPIO
6694,EXTRACCIÓN DE PRÓTESIS DE TROMPA DE FALOPIO
6695,INSUFLACIÓN DE AGENTE TERAPÉUTICO EN LAS TROMPAS DE FALOPIO
6696,DILATACIÓN DE LAS TROMPAS DE FALOPIO
6697,ENTERRAMIENTO DE FIMBRIAS EN LA PARED UTERINA
6699,OTRAS OPERACIONES SOBRE TROMPAS DE FALOPIO
67,OPERACIONES SOBRE EL CUELLO UTERINO
670,DILATACIÓN DEL CANAL CERVICAL
670X,DILATACIÓN DEL CANAL CERVICAL
671,PROCEDIMIENTOS DIAGNÓSTICOS SOBRE EL CUELLO UTERINO
6711,BIOPSIA ENDOCERVICAL
6712,OTRA BIOPSIA CERVICAL
6719,OTROS PROCEDIMIENTOS DIAGNÓSTICOS SOBRE EL CUELLO UTERINO
672,CONIZACIÓN
672X,CONIZACIÓN
673,OTRA EXCISIÓN O DESTRUCCIÓN DE LESIÓN O TEJIDO DEL CUELLO UTERINO
6731,MARSUPIALIZACIÓN DE QUISTE CERVICAL
6732,DESTRUCCIÓN DE LESIÓN DEL CUELLO UTERINO POR CAUTERIZACIÓN
6733,DESTRUCCIÓN DE LESIÓN DEL CUELLO UTERINO POR CRIOCIRUGÍA
6739,OTRA EXCISIÓN O DESTRUCCIÓN DE LESIÓN O TEJIDO DEL CUELLO UTERINO
674,AMPUTACIÓN DEL CUELLO UTERINO
674X,AMPUTACIÓN DEL CUELLO UTERINO
675,REPARACIÓN DE ORIFICIO CERVICAL INTERNO
6751,CERCLAJE TRANSABDOMINAL DE CÉRVIX
6759,OTRA REPARACIÓN DE ORIFICIO CERVICAL INTERNO
676,OTRA REPARACIÓN DEL CUELLO UTERINO
6761,SUTURA DE DESGARRO DE CUELLO UTERINO
6762,REPARACIÓN DE FÍSTULA DE CUELLO UTERINO
6769,OTRA REPARACIÓN DEL CUELLO UTERINO
68,OTRA INCISIÓN Y EXCISIÓN DEL ÚTERO
680,HISTEROTOMÍA
680X,HISTEROTOMÍA
681,PROCEDIMIENTOS DIAGNÓSTICOS SOBRE EL ÚTERO Y SUS ESTRUCTURAS DE SOPORTE
6811,EXAMEN DIGITAL DEL ÚTERO
6812,HISTEROSCOPIA
6813,BIOPSIA ABIERTA DE ÚTERO
6814,BIOPSIA ABIERTA DE LIGAMENTOS UTERINOS
6815,BIOPSIA CERRADA DE LIGAMENTOS UTERINOS
6816,BIOPSIA CERRADA DE ÚTERO
6819,OTROS PROCEDIMIENTOS DIAGNÓSTICOS SOBRE ÚTERO Y ESTRUCTURAS DE SOPORTE
682,EXCISIÓN O DESTRUCCIÓN DE LESIÓN O TEJIDO DEL ÚTERO
6821,DIVISIÓN DE SINEQUIAS ENDOMETRIALES
6822,INCISIÓN O EXCISIÓN DE TABIQUE CONGÉNITO DEL ÚTERO
6823,ABLACIÓN ENDOMETRIAL
6829,OTRA EXCISIÓN O DESTRUCCIÓN DE LESIÓN DEL ÚTERO
683,HISTERECTOMÍA SUBTOTAL ABDOMINAL
6831,HISTERECTOMÍA SUPRACERVICAL LAPAROSCÓPICA [HSL]
6839,OTRA HISTERECTOMÍA SUBTOTAL ABDOMINAL Y LA NO ESPECIFICADA
684,HISTERECTOMÍA TOTAL ABDOMINAL
6841,HISTERECTOMÍA TOTAL ABDOMINAL LAPAROSCÓPICA
6849,OTRA HISTERECTOMÍA TOTAL ABDOMINAL Y LA NO ESPECIFICADA
685,HISTERECTOMÍA VAGINAL
6851,HISTERECTOMÍA VAGINAL ASISTIDA POR LAPAROSCOPIA (HVAL)
6859,OTRA HISTERECTOMÍA VAGINAL Y LA NO ESPECIFICADA
686,HISTERECTOMÍA RADICAL ABDOMINAL
6861,HISTERECTOMÍA RADICAL ABDOMINAL LAPAROSCÓPICA
6869,OTRA HISTERECTOMÍA RADICAL ABDOMINAL Y LA NO ESPECIFICADA
687,HISTERECTOMÍA RADICAL VAGINAL
6871,HISTERECTOMÍA RADICAL VAGINAL LAPAROSCÓPICA [HRVL]
6879,OTRA HISTERECTOMÍA RADICAL VAGINAL Y LA NO ESPECIFICADA
688,EXENTERACIÓN PÉLVICA
688X,EXENTERACIÓN PÉLVICA
689,OTRAS HISTERECTOMÍAS Y LAS NO ESPECIFICADAS
689X,OTRAS HISTERECTOMÍAS Y LAS NO ESPECIFICADAS
69,OTRAS OPERACIONES SOBRE EL ÚTERO Y SUS ESTRUCTURAS DE SOPORTE
690,DILATACIÓN Y LEGRADO DEL ÚTERO
6901,DILATACIÓN Y LEGRADO PARA TERMINACIÓN DEL EMBARAZO
6902,DILATACIÓN Y LEGRADO DESPUÉS DE PARTO O ABORTO
6909,OTRA DILATACIÓN Y LEGRADO
691,EXCISIÓN O DESTRUCCIÓN DE LESIÓN O TEJIDO DEL ÚTERO Y SUS ESTRUCTURAS DE SOPORTE
6919,OTRA EXISIÓN O DESTRUCCIÓN DEL ÚTERO Y SUS ESTRUCTURAS DE SOPORTE
692,REPARACIÓN DE ESTRUCTURAS DE SOPORTE DE ÚTERO
6921,OPERACIÓN DE INTERPOSICIÓN
6922,OTRA SUSPENSIÓN UTERINA
6923,REPARACIÓN VAGINAL DE INVERSIÓN CRÓNICA DEL ÚTERO
6929,OTRA REPARACIÓN DEL ÚTERO Y SUS ESTRUCTURAS DE SOPORTE
693,DENERVACIÓN UTERINA PARACERVICAL
693X,DENERVACIÓN UTERINA PARACERVICAL
694,REPARACIÓN UTERINA
6941,SUTURA DE DESGARRO DE ÚTERO
6942,CIERRE DE FÍSTULA DE ÚTERO
6949,OTRA REPARACIÓN DE ÚTERO
695,LEGRADO POR ASPIRACIÓN DE ÚTERO
6951,LEGRADO POR ASPIRACIÓN DEL ÚTERO PARA TERMINACIÓN DE EMBARAZO
6952,LEGRADO POR ASPIRACIÓN DEL ÚTERO DESPUÉS DE PARTO O ABORTO
6959,OTRO LEGRADO POR ASPIRACIÓN DEL ÚTERO
696,EXTRACCIÓN O REGULACIÓN MENSTRUAL
696X,EXTRACCIÓN O REGULACIÓN MENSTRUAL
697,INSERCIÓN DE DISPOSITIVO ANTICONCEPTIVO INTRAUTERINO
697X,INSERCIÓN DE DISPOSITIVO ANTICONCEPTIVO INTRAUTERINO
699,"OTRAS OPERACIONES SOBRE ÚTERO, CUELLO Y ESTRUCTURAS DE APOYO"
6991,INSERCIÓN DE DISPOSITIVO TERAPÉUTICO EN ÚTERO
6992,INSEMINACIÓN ARTIFICIAL
6993,INSERCIÓN DE LAMINARIA
6994,REPOSICIÓN MANUAL DE ÚTERO INVERTIDO
6995,INCISIÓN DE CUELLO
6996,EXTRACCIÓN DE MATERIAL DE CERCLAJE DEL CUELLO UTERINO
6997,EXTRACCIÓN DE OTRO CUERPO EXTRAÑO PENETRANTE DEL CUELLO UTERINO
6998,OTRAS OPERACIONES SOBRE LAS ESTRUCTURAS DE SOPORTE DE ÚTERO
6999,OTRAS OPERACIONES SOBRE CUELLO UTERINO Y ÚTERO
70,OPERACIONES SOBRE LA VAGINA Y FONDO DE SACO
700,CULDOCENTESIS
700X,CULDOCENTESIS
701,INCISIÓN DE VAGINA Y DE FONDO DE SACO
7011,HIMENOTOMÍA
7012,CULDOTOMÍA
7013,LIBERACIÓN DE ADHERENCIAS VAGINALES INTRALUMINALES
7014,OTRA VAGINOTOMÍA
702,PROCEDIMIENTOS DIAGNÓSTICOS SOBRE VAGINA Y FONDO DE SACO
7021,VAGINOSCOPÍA
7022,CULDOSCOPÍA
7023,BIOPSIA DE FONDO DE SACO
7024,BIOPSIA VAGINAL
7029,OTROS PROCEDIMIENTOS DIAGNÓSTICOS SOBRE VAGINA Y FONDO DE SACO
703,ESCISIÓN LOCAL O DESTRUCCIÓN DE VAGINA Y FONDO DE SACO
7031,HIMENECTOMÍA
7032,ESCISIÓN O DESTRUCCIÓN DE LESIÓN DE FONDO DE SACO
7033,ESCISIÓN O DESTRUCCIÓN DE LESIÓN DE VAGINA
704,OBLITERACIÓN Y EXCISIÓN TOTAL DE VAGINA
704X,OBLITERACIÓN Y ESCISIÓN TOTAL DE VAGINA
705,REPARACIÓN DE CISTOCELE Y RECTOCELE
7050,REPARACIÓN DE CISTOCELE Y RECTOCELE
7051,REPARACIÓN DE CISTOCELE
7052,REPARACIÓN DE RECTOCELE
7053,REPARACIÓN DE CISTOCELE Y RECTOCELE CON INJERTO O PRÓTESIS
7054,REPARACIÓN DE CISTOCELE CON INJERTO O PRÓTESIS
7055,REPARACIÓN DE RECTOCELE CON INJERTO O PRÓTESIS
706,CONSTRUCCIÓN Y RECONSTRUCCIÓN VAGINALES
7061,CONSTRUCCIÓN VAGINAL (CREACIÓN DE UNA NEOVAGINA)
7062,RECONSTRUCCIÓN VAGINAL
7063,CONSTRUCCIÓN VAGINAL CON INJERTO O PRÓTESIS
7064,RECONSTRUCCIÓN VAGINAL CON INJERTO O PRÓTESIS
707,OTRA REPARACIÓN DE VAGINA
7071,SUTURA DE DESGARRO DE VAGINA
7072,REPARACIÓN DE FÍSTULA COLOVAGINAL
7073,REPARACIÓN DE FÍSTULA RECTOVAGINAL
7074,REPARACIÓN DE OTRA FÍSTULA VAGINOENTÉRICA
7075,REPARACIÓN DE OTRA FÍSTULA DE VAGINA
7076,HIMENORRAFIA
7077,SUSPENSIÓN Y FIJACIÓN DE VAGINA
7078,SUSPENSIÓN Y FIJACIÓN VAGINAL CON INJERTO O PRÓTESIS
7079,OTRA REPARACIÓN DE VAGINA
708,OBLITERACIÓN DE LA CÚPULA VAGINAL
708X,OBLITERACIÓN DE LA CÚPULA VAGINAL
709,OTRAS OPERACIONES SOBRE LA VAGINA Y FONDO DE SACO
7091,OTRAS OPERACIONES SOBRE LA VAGINA
7092,OTRAS OPERACIONES SOBRE FONDO DE SACO (VAGINA)
7093,OTRAS OPERACIONES SOBRE FONDO DE SACO CON INJERTO O PRÓTESIS
7094,INSERCIÓN DE INJERTO BIOLÓGICO
7095,INSERCIÓN DE INJERTO SINTÉTICO O PRÓTESIS DE TEJIDO ARTIFICIAL
71,OPERACIONES SOBRE LA VULVA Y EL PERINEO
710,INCISIÓN DE VULVA Y PERINEO
7101,LIBERACIÓN DE ADHERENCIAS VULVARES
7109,OTRA INCISIÓN DE VULVA Y PERINEO
711,PROCEDIMIENTOS DIAGNÓSTICOS SOBRE LA VULVA
7111,BIOPSIA DE VULVA
7119,OTROS PROCEDIMIENTOS DIAGNÓSTICOS SOBRE LA VULVA
712,OPERACIONES SOBRE LA GLÁNDULA DE BARTHOLIN
7121,ASPIRACIÓN PERCUTÁNEA DE GLÁNDULA DE BARTHOLIN (QUISTE)
7122,INCISIÓN DE GLÁNDULA DE BARTHOLIN (QUISTE)
7123,MARSUPIALIZACIÓN DE GLÁNDULA DE BARTHOLIN (QUISTE)
7124,EXCISIÓN U OTRA DESTRUCCIÓN DE GLÁNDULA DE BARTHOLIN (QUISTE)
7129,OTRAS OPERACIONES SOBRE LAS GLÁNDULAS DE BARTHOLIN
713,OTRA EXCISIÓN LOCAL O DESTRUCCIÓN DE LA VULVA Y EL PERINEO
713X,OTRA EXCISIÓN LOCAL O DESTRUCCIÓN DE LA VULVA Y EL PERINEO
714,OPERACIONES SOBRE EL CLÍTORIS
714X,OPERACIONES SOBRE EL CLÍTORIS
715,VULVECTOMÍA RADICAL
715X,VULVECTOMÍA RADICAL
716,OTRA VULVECTOMÍA
7161,VULVECTOMÍA UNILATERAL
7162,VULVECTOMÍA BILATERAL
717,REPARACIÓN DE LA VULVA O EL PERINEO
7171,SUTURA DE DESGARRO DE LA VULVA O EL PERINEO ACTUAL
7172,REPARACIÓN DE FÍSTULA DE VULVA O PERINEO
7179,OTRA REPARACIÓN DE LA VULVA Y EL PERINEO
718,OTRAS REPARACIONES SOBRE VULVA
718X,OTRAS REPARACIONES SOBRE VULVA
719,OTRAS OPERACIONES SOBRE LOS ÓRGANOS GENITALES FEMENINOS
719X,OTRAS OPERACIONES SOBRE LOS ÓRGANOS GENITALES FEMENINOS
0,PROCEDIMIENTOS OBSTÉTRICOS (72 - 75)
72,"FÓRCEPS, VENTOSA Y PARTO DE NALGAS"
720,APLICACIÓN DE FÓRCEPS BAJO
720X,APLICACIÓN DE FÓRCEPS BAJO
721,APLICACIÓN DE FÓRCEPS BAJO CON EPISIOTOMÍA
721X,APLICACIÓN DE FÓRCEPS BAJO CON EPISIOTOMÍA
722,APLICACIÓN DE FÓRCEPS MEDIO
7221,APLICACIÓN DE FÓRCEPS MEDIO CON EPISIOTOMÍA
7229,OTRA APLICACIÓN DE FÓRCEPS MEDIO
723,APLICACIÓN DE FÓRCEPS ALTO
7231,APLICACIÓN DE FÓRCEPS ALTO CON EPISIOTOMÍA
7239,OTRA APLICACIÓN DE FÓRCEPS ALTO
724,ROTACIÓN MEDIANTE FÓRCEPS DE LA CABEZA DEL FETO
724X,ROTACIÓN MEDIANTE FÓRCEPS DE LA CABEZA DEL FETO
725,EXTRACCIÓN CON PRESENTACIÓN DE NALGAS
7251,EXTRACCIÓN PARCIAL CON PRESENTACIÓN DE NALGAS MEDIANTE APLICACIÓN DE FÓRCEPS EN CABEZA ÚLTIMA
7252,OTRA EXTRACCIÓN PARCIAL EN PRESENTACIÓN DE NALGAS
